"Internal Reference","Product Template/ID","Attribute Values/Attribute Value/ID","Attribute Values/Attribute/ID","Vendors/ID","Vendors/Delivery Lead Time","Vendors/Currency/ID","Vendors/Price","Vendors/Quantity","Vendors/Vendor/ID"
"","","__import__.CC_With","__import__.CC","","","","","",""
"","","__import__.HV_With","__import__.HV","","","","","",""
"","","__import__.HBT_Without","__import__.HBT","","","","","",""
"","","__import__.HVHBT_With","__import__.HV_AND_HBT","","","","","",""
"","","__import__.HTC_Without","__import__.HYDRAULIC_TOP_CLAMPING","","","","","",""
"","","__import__.DCS_Without","__import__.DEVIATION_CS","","","","","",""
"","","__import__.QAPPRS_Without","__import__.QUICK_APPR_SYST","","","","","",""
"UMSY800-49","__import__.UMSY_800","__import__.TT_Without","__import__.TT","","","","","",""
"","","__import__.MTT_Without","__import__.MTT","","","","","",""
"","","__import__.CC_Without","__import__.CC","","","","","",""
"","","__import__.HV_With","__import__.HV","","","","","",""
"","","__import__.HBT_With","__import__.HBT","","","","","",""
"","","__import__.HVHBT_Without","__import__.HV_AND_HBT","","","","","",""
"","","__import__.HTC_Without","__import__.HYDRAULIC_TOP_CLAMPING","","","","","",""
"","","__import__.DCS_Without","__import__.DEVIATION_CS","","","","","",""
"","","__import__.QAPPRS_Without","__import__.QUICK_APPR_SYST","","","","","",""
"UMSY800-490","__import__.UMSY_800","__import__.TT_With","__import__.TT","","","","","",""
"","","__import__.MTT_With","__import__.MTT","","","","","",""
"","","__import__.CC_With","__import__.CC","","","","","",""
"","","__import__.HV_With","__import__.HV","","","","","",""
"","","__import__.HBT_Without","__import__.HBT","","","","","",""
"","","__import__.HVHBT_With","__import__.HV_AND_HBT","","","","","",""
"","","__import__.HTC_Without","__import__.HYDRAULIC_TOP_CLAMPING","","","","","",""
"","","__import__.DCS_Without","__import__.DEVIATION_CS","","","","","",""
"","","__import__.QAPPRS_With","__import__.QUICK_APPR_SYST","","","","","",""
"UMSY800-491","__import__.UMSY_800","__import__.TT_With","__import__.TT","","","","","",""
"","","__import__.MTT_With","__import__.MTT","","","","","",""
"","","__import__.CC_With","__import__.CC","","","","","",""
"","","__import__.HV_With","__import__.HV","","","","","",""
"","","__import__.HBT_Without","__import__.HBT","","","","","",""
"","","__import__.HVHBT_With","__import__.HV_AND_HBT","","","","","",""
"","","__import__.HTC_Without","__import__.HYDRAULIC_TOP_CLAMPING","","","","","",""
"","","__import__.DCS_With","__import__.DEVIATION_CS","","","","","",""
